Incidenct Code;Customer Company Group;Customer Company;Create Date-Time;Resolution Date-Time;Incident Status;Incident Description;Support Group;Tower Group;Domain Group;Priority;Urgency;Resolution Description;Assigned Organization;Inc. Category;Last Modified Date;Inc. Type;Inc. Element;Aging (Days);Localización Cliente;Departamento Cliente
INC000000967785;IBERIA;IBERIA;03.01.18 08:39;03.01.18 08:39;Resolved;Llamada centralita;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se le proporciona al usuario el telefono que necesita para su pesquisa.;Unidad Control del Servicio;INCIDENT;03.01.18;ACCESS FAILURE;;0;SIN IDENTIFICAR;
INC000000967886;IBERIA;IBERIA;01.01.18 03:23;01.01.18 03:23;Resolved;Nómina reset;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01.01.18;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR (VUELO);GESTOR DE FLOTA CM RADIO (ABRW00)
INC000000967888;IBERIA;IBERIA;01.01.18 04:09;01.01.18 04:42;Resolved;Fallo Software: recuperando la integridad de datos;IAG EUC Remote Support;EUC;EUC;Baja;4-Baja;Cleared the cache and restarted. Now the issue is fixed. Hence closing the case with user confirmation.;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;01.01.18;SOFTWARE FAILURE;;0;BCN AEROPUERTO;MNG. CTROL OPERATIVO Y CO (AHABC0)
INC000000967897;IBERIA;IBERIA;01.01.18 03:24;01.01.18 19:13;;Datos PNRs incompletos;Aplicaciones BI;Application Tower;BI;Media;3-Medio;;Mantenimiento BI;INCIDENT;01.01.18;SOFTWARE FAILURE;APPLICATION ERROR;0;SIN IDENTIFICAR;
INC000000967899;IBERIA;IBERIA;01.01.18 03:44;02.01.18 15:32;Resolved;LINUX_sun - ibclogec2.ib : Swap area occupied 93.35%. Assign incidence SERVICIOS_CKI_GAR SupportGrou;Aplicaciones BI;Application Tower;BI;Baja;4-Baja;Issue: Swap memory was almost full on client node Ibclogec1.ib. Later, we received alerts for swap memory memory on second client node. Analysis: Elasticsearch client nodes having a light memory leak and after running for 1 or 2 months, they start consuming swap space quickly. Hence it is required to restart ES services the client nodes in every approx 2 months. Business Impact: If a client node leaves the cluster than it would impact kibana visualization and users will not be able to make requests through kibana. Resolution: Restarted elastic search services on client node Ibclogec1.ib and than on client node (Ibclogec2.ib);Mantenimiento BI;INCIDENT;02.01.18;SOFTWARE FAILURE;APPLICATION ERROR;1;MANDOS;
INC000000967900;IBERIA;IBERIA;01.01.18 04:10;01.01.18 04:40;Resolved;LINUX_ibm - bdaptl1.ib : Filesystem backup is used 90.15%. Call out to DBA-SERVER-Support.;DBA-Server-Support;Server Tower;Server Tower;Media;3-Medio;backup is still running but old logs removed and now its below threshold value.;Unidad de Operaciones Ordenadores;INCIDENT;01.01.18;SOFTWARE FAILURE;APPLICATION ERROR;0;MANDOS;
INC000000967911;IBERIA;IBERIA;01.01.18 06:56;02.01.18 13:37;Resolved;INCIDENCIA EXTRACCION DE MATERIALES ZMD123 y MB1A;USV_DGMI;Application Tower;Mantenimiento Dir. Técnica – MRO;Media;3-Medio;;Mantenimiento Dir. Técnica;INCIDENT;02.01.18;SOFTWARE FAILURE;;1;SIN IDENTIFICAR;
INC000000967913;IBERIA;IBERIA;01.01.18 14:51;01.01.18 14:51;Resolved;Requiere nueva contraseña;SSI;Service Ops Tower;Service Ops Tower;Baja;4-Baja;Se informa al usuario del proceso de seguridad.;Unidad Control del Servicio;INCIDENT;01.01.18;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR (VUELO);GESTOR DE FLOTA CM RADIO (ABRW00)
INC000000967914;IBERIA;IBERIA;01.01.18 08:09;01.01.18 09:39;Resolved;Solicita reset de usuario de RESIBER/AMADEUS;CSUSAS;Delivery;Delivery;Baja;4-Baja;Se resetea contraseña e informa a usuario.;Unidad de Operaciones Ordenadores;INCIDENT;01.01.18;ACCESS FAILURE;PASSWORD RESET;0;SIN IDENTIFICAR;
INC000000967915;IBERIA;IBERIA;01.01.18 07:26;;Pending;EMISORA AVERIADA;Soporte Radio/Analógico;Network Tower;Network Tower;Media;3-Medio;Pte usuario;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;02.01.18;DEFAULT;DEFAULT;31;TFS AEROPUERTO;RAMPA TENERIFE SUR (AHALUMRA)
